Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,8666.480469,8842.660156,8664.889648,8776.389648,8776.389648,226760000
2009-01-02,8772.250000,9065.280273,8760.780273,9034.690430,9034.690430,213700000
2009-01-05,9027.129883,9034.370117,8892.360352,8952.889648,8952.889648,233760000
2009-01-06,8954.570313,9088.059570,8940.950195,9015.099609,9015.099609,215410000
2009-01-07,8996.940430,8996.940430,8719.919922,8769.700195,8769.700195,266710000
2009-01-08,8769.940430,8770.019531,8651.190430,8742.459961,8742.459961,226620000
2009-01-09,8738.799805,8769.620117,8576.959961,8599.179688,8599.179688,204300000
2009-01-12,8599.259766,8602.599609,8421.080078,8473.969727,8473.969727,273550000
2009-01-13,8474.610352,8522.080078,8376.879883,8448.559570,8448.559570,304050000
2009-01-14,8446.009766,8446.250000,8140.720215,8200.139648,8200.139648,355050000
2009-01-15,8196.240234,8286.160156,7995.129883,8212.490234,8212.490234,436660000
2009-01-16,8215.669922,8341.200195,8109.339844,8281.219727,8281.219727,439360000
2009-01-20,8279.629883,8291.980469,7939.930176,7949.089844,7949.089844,419200000
2009-01-21,7949.169922,8243.549805,7936.189941,8228.099609,8228.099609,410040000
2009-01-22,8224.429688,8224.830078,7957.140137,8122.799805,8122.799805,420040000
2009-01-23,8108.790039,8152.589844,7909.029785,8077.560059,8077.560059,370510000
2009-01-26,8078.040039,8231.679688,8023.160156,8116.029785,8116.029785,316720000
2009-01-27,8117.390137,8225.790039,8083.140137,8174.729980,8174.729980,247750000
2009-01-28,8175.930176,8405.870117,8175.930176,8375.450195,8375.450195,357940000
2009-01-29,8373.059570,8373.139648,8137.939941,8149.009766,8149.009766,247450000
2009-01-30,8149.009766,8195.759766,7961.919922,8000.859863,8000.859863,303160000
2009-02-02,8000.620117,8000.620117,7867.370117,7936.750000,7936.750000,293890000
2009-02-03,7936.990234,8111.569824,7905.520020,8078.359863,8078.359863,313090000
2009-02-04,8070.319824,8162.149902,7929.259766,7956.660156,7956.660156,345520000
2009-02-05,7954.830078,8107.830078,7845.310059,8063.069824,8063.069824,390980000
2009-02-06,8056.379883,8312.370117,8052.240234,8280.589844,8280.589844,396380000
2009-02-09,8281.379883,8315.070313,8196.240234,8270.870117,8270.870117,289280000
2009-02-10,8269.360352,8269.440430,7848.740234,7888.879883,7888.879883,449890000
2009-02-11,7887.049805,7983.740234,7852.160156,7939.529785,7939.529785,270280000
2009-02-12,7931.970215,7938.819824,7693.979980,7932.759766,7932.759766,331960000
2009-02-13,7933.000000,7970.839844,7840.450195,7850.410156,7850.410156,251960000
2009-02-17,7845.629883,7845.629883,7551.009766,7552.600098,7552.600098,332850000
2009-02-18,7546.350098,7617.759766,7479.970215,7555.629883,7555.629883,268220000
2009-02-19,7555.229980,7614.970215,7447.549805,7465.950195,7465.950195,301480000
2009-02-20,7461.490234,7469.290039,7249.470215,7365.669922,7365.669922,584900000
2009-02-23,7365.990234,7441.020020,7105.939941,7114.779785,7114.779785,406150000
2009-02-24,7115.339844,7378.970215,7114.299805,7350.939941,7350.939941,468010000
2009-02-25,7349.580078,7404.939941,7156.680176,7270.890137,7270.890137,450270000
2009-02-26,7269.060059,7402.310059,7173.560059,7182.080078,7182.080078,321300000
2009-02-27,7180.970215,7195.459961,7033.620117,7062.930176,7062.930176,667950000
2009-03-02,7056.479980,7058.950195,6755.169922,6763.290039,6763.290039,568670000
2009-03-03,6764.810059,6855.290039,6705.629883,6726.020020,6726.020020,445280000
2009-03-04,6726.500000,6979.220215,6726.419922,6875.839844,6875.839844,464830000
2009-03-05,6874.009766,6874.009766,6544.100098,6594.439941,6594.439941,509770000
2009-03-06,6595.160156,6755.169922,6469.950195,6626.939941,6626.939941,425170000
2009-03-09,6625.740234,6709.609863,6516.859863,6547.049805,6547.049805,365990000
2009-03-10,6547.009766,6926.490234,6546.609863,6926.490234,6926.490234,640020000
2009-03-11,6923.129883,7015.060059,6867.549805,6930.399902,6930.399902,524430000
2009-03-12,6932.390137,7184.709961,6872.250000,7170.060059,7170.060059,488690000
2009-03-13,7167.350098,7242.620117,7105.859863,7223.979980,7223.979980,479010000
2009-03-16,7225.330078,7392.910156,7206.850098,7216.970215,7216.970215,586970000
2009-03-17,7218.000000,7396.810059,7172.049805,7395.700195,7395.700195,391880000
2009-03-18,7395.700195,7571.640137,7257.270020,7486.580078,7486.580078,584110000
2009-03-19,7489.680176,7548.459961,7369.259766,7400.799805,7400.799805,559920000
2009-03-20,7402.310059,7460.930176,7257.830078,7278.379883,7278.379883,672950000
